                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68053,                0.66243,                0.60974,                 1.0774,                0.92222,                0.20968,                0.20002,                 0.1779,                0.92222,                0.20968,                0.20002,                   0.19,                    nan,                0.65119,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     37,                0.63607,                0.61935,                0.64903,                  1.061,                0.92011,                0.20968,                0.19795,                0.18394,                0.92011,                0.20968,                0.19795,                0.19597,                    nan,                0.58996,                    nan,                    nan,              0.0016535,              0.0016535,              0.0016535
                     38,                0.56995,                0.51981,                0.56278,                 1.0406,                0.92109,                0.20968,                0.19669,                0.18013,                0.92109,                0.20968,                0.19669,                  0.183,                    nan,                0.58535,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     39,                0.55613,                0.56629,                0.59067,                  1.039,                0.90253,                0.20968,                0.19756,                0.18075,                0.90253,                0.20968,                0.19756,                0.18935,                    nan,                0.58533,                    nan,                    nan,              0.0016337,              0.0016337,              0.0016337
                     40,                0.56674,                0.51657,                  0.548,                 1.0271,                0.92184,                0.20968,                0.19474,                0.18348,                0.92184,                0.20968,                0.19474,                0.19044,                    nan,                0.72233,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     41,                0.53886,                0.58775,                 0.5414,                 1.0122,                0.91587,                0.20968,                0.19389,                0.17529,                0.91587,                0.20968,                0.19389,                  0.183,                    nan,                0.72469,                    nan,                    nan,              0.0016139,              0.0016139,              0.0016139
                     42,                0.56256,                0.51465,                0.53587,                 1.0314,                0.91825,                0.20968,                0.19203,                0.17502,                0.91825,                0.20968,                0.19203,                0.18257,                    nan,                 0.7005,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     43,                0.57603,                0.52434,                0.57464,                  1.053,                0.90864,                0.20968,                0.19266,                0.18018,                0.90864,                0.20968,                0.19266,                0.18588,                    nan,                0.62956,                    nan,                    nan,              0.0015941,              0.0015941,              0.0015941
                     44,                 0.5673,                0.52501,                0.57347,                 1.0347,                0.92852,                0.20952,                0.19381,                0.17724,                0.92852,                0.20952,                0.19381,                 0.1806,                    nan,                0.83826,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     45,                0.53342,                0.45393,                0.54459,                 1.0054,                0.91889,                0.20968,                0.19399,                0.16669,                0.91889,                0.20968,                0.19399,                0.16547,                    nan,                 1.0493,                    nan,                    nan,              0.0015743,              0.0015743,              0.0015743
